Date,GBPUSD,EURUSD,CHFUSD,AUDUSD,CADUSD,CNYUSD,INRUSD,JPYUSD
02-01-2012,1.551205,1.296008,1.065984,1.020804,0.979528,0.159109,0.018865,0.012984
03-01-2012,1.552,1.294096,1.064509,1.025399,0.982898,0.159134,0.018762,0.012999
04-01-2012,1.564407,1.305602,1.073076,1.037,0.989022,0.158806,0.01885,0.013034
05-01-2012,1.560939,1.293142,1.061458,1.034126,0.986777,0.158831,0.018921,0.013036
06-01-2012,1.550171,1.279607,1.05031,1.025704,0.980777,0.158516,0.018954,0.012962
09-01-2012,1.541949,1.268038,1.043297,1.019805,0.971723,0.158745,0.018985,0.013002
10-01-2012,1.545906,1.277596,1.054964,1.025399,0.978091,0.158403,0.019091,0.013011
11-01-2012,1.547461,1.275185,1.051879,1.029803,0.983574,0.158428,0.01938,0.013012
12-01-2012,1.533601,1.272394,1.049098,1.031523,0.982125,0.158328,0.019324,0.013011
13-01-2012,1.534213,1.282051,1.059547,1.033666,0.982318,0.158283,0.019436,0.013024
16-01-2012,1.530011,1.264702,1.047779,1.028119,0.976277,0.158831,0.019443,0.013002
17-01-2012,1.532497,1.266705,1.046682,1.032002,0.982704,0.158577,0.019463,0.013017
18-01-2012,1.53386,1.2746,1.053741,1.03798,0.985416,0.158303,0.019743,0.013017
19-01-2012,1.542996,1.286604,1.06519,1.041895,0.988631,0.158453,0.019857,0.013026
20-01-2012,1.548827,1.296496,1.072731,1.041591,0.988631,0.158549,0.01988,0.012974
23-01-2012,1.554557,1.288477,1.067293,1.046803,0.985222,0.158113,0.019911,0.012994
24-01-2012,1.557899,1.302694,1.078214,1.052898,0.992664,0.158378,0.020064,0.012987
25-01-2012,1.562695,1.304104,1.078167,1.047998,0.99108,0.158178,0.02,0.012872
26-01-2012,1.566097,1.310736,1.084952,1.059288,0.995619,0.158391,0.02,0.012858
27-01-2012,1.568209,1.309278,null,1.061582,0.997606,0.157878,0.01905,0.01291
30-01-2012,1.572401,1.320795,1.09517,1.063717,0.998602,0.158128,0.020248,0.013032
31-01-2012,1.570845,1.313957,null,1.058604,0.997606,0.158388,0.01905,0.013096
01-02-2012,1.576044,1.307702,1.086484,1.060805,0.997029,0.158514,0.020202,0.013111
02-02-2012,1.584284,1.317003,1.093613,1.0718,1.002506,0.158559,0.020404,0.013125
03-02-2012,1.580278,1.313715,1.090156,1.070503,1.0006,0.158624,0.020408,0.013127
06-02-2012,1.580303,1.312715,1.088021,1.075199,1.006543,0.158614,0.020554,0.013063
07-02-2012,1.581278,1.312164,1.087666,1.072202,1.003814,0.158441,0.020386,0.013063
08-02-2012,1.58932,1.324854,1.096215,1.079797,1.004964,0.158516,0.02039,0.013023
09-02-2012,1.581278,1.324854,1.094931,1.078795,1.003714,0.15877,0.020347,0.012977
10-02-2012,1.581278,1.327845,1.096371,1.076913,1.004823,0.158846,0.020207,0.012881
13-02-2012,1.578208,1.323679,1.094331,1.070905,0.9999,0.158899,0.020262,0.01287
14-02-2012,1.572574,1.315789,1.088649,1.070503,0.999101,0.158854,0.02033,0.012902
15-02-2012,1.56912,1.31337,1.087548,1.0704,1.001502,0.158801,0.02026,0.012762
16-02-2012,1.568874,1.305807,1.0819,1.06873,0.9997,0.158778,0.020291,0.012742
17-02-2012,1.580778,1.31268,1.088021,1.075061,1.003311,0.158702,0.020291,0.012686
20-02-2012,1.586924,1.322716,1.093494,1.080345,1.008675,0.158788,0.020277,0.012533
21-02-2012,1.582829,1.320481,1.094571,1.072202,1.005126,0.158745,0.020347,0.012565
22-02-2012,1.579031,1.324328,1.096972,1.066997,1.003412,0.158811,0.020283,0.012527
23-02-2012,1.567202,1.325574,1.098177,1.062496,1.0001,0.158834,0.020318,0.012456
24-02-2012,1.574555,1.337363,1.110124,1.0728,1.002808,0.158768,0.02037,0.012511
27-02-2012,1.588688,1.346711,1.118318,1.069519,1.0004,0.158801,0.020405,0.012274
28-02-2012,1.58328,1.340662,1.112966,1.075917,1.001904,0.158685,0.020336,0.012428
29-02-2012,1.592205,1.3478,1.118443,1.07996,1.00634,0.15877,0.02038,0.012425
01-03-2012,1.592357,1.33209,1.10562,1.074114,1.011736,0.158874,0.020407,0.012304
02-03-2012,1.595914,1.332268,1.104374,1.080777,1.014971,0.15875,0.020326,0.012327
05-03-2012,1.583306,1.318618,1.093255,1.07226,1.010714,0.15877,0.020195,0.012251
06-03-2012,1.587554,1.322576,1.096804,1.067703,1.006239,0.158536,0.020067,0.012267
07-03-2012,1.572327,1.312336,1.088755,1.056602,0.998901,0.158368,0.019858,0.012398
08-03-2012,1.573564,1.313991,1.090536,1.056881,1.001803,0.158474,0.019889,0.012294
09-03-2012,1.582529,1.327492,1.1012,1.064464,1.009795,0.158316,0.019971,0.012258
12-03-2012,1.5673,1.312508,1.088376,1.056334,1.009795,0.158453,0.020099,0.01214
13-03-2012,1.565435,1.316829,1.092657,1.053297,1.008675,0.158098,0.020013,0.012141
14-03-2012,1.570598,1.308044,1.082954,1.054296,1.011941,0.15806,0.020068,0.012054
15-03-2012,1.565435,1.302253,1.073653,1.044005,1.00634,0.157935,0.020037,0.011927
16-03-2012,1.570352,1.307873,1.083189,1.0521,1.007861,0.157998,0.01985,0.011977
19-03-2012,1.583707,1.317714,1.092299,1.060198,1.009133,0.158155,0.019947,0.011983
20-03-2012,1.588815,1.322926,1.096852,1.059985,1.012556,0.158263,0.019909,0.011995
21-03-2012,1.586294,1.323767,1.097815,1.048515,1.009082,0.15821,0.019846,0.011955
22-03-2012,1.587554,1.321877,1.096251,1.045905,1.008166,0.158233,0.019752,0.012019
23-03-2012,1.582779,1.320481,1.09553,1.04015,1.001302,0.158728,0.019562,0.01212
26-03-2012,1.587806,1.328304,1.102293,1.048867,1.003613,0.158617,0.019543,0.012108
27-03-2012,1.596169,1.336005,1.107542,1.052698,1.008776,0.158579,0.019599,0.01205
28-03-2012,1.595405,1.332871,1.105583,1.044321,1.00452,0.158652,0.019732,0.012041
29-03-2012,1.58932,1.332623,1.105705,1.039199,1.002305,0.15869,0.019696,0.012073
30-03-2012,1.595914,1.331381,1.104484,1.037495,1.003613,0.158579,0.019479,0.012155
02-04-2012,1.601409,1.335827,1.109632,1.042601,1.003915,0.158849,0.019659,0.012067
03-04-2012,1.603849,1.333333,1.107665,1.042927,1.010101,0.158841,0.019659,0.012264
04-04-2012,1.59066,1.322524,1.097864,1.030981,1.009184,0.158851,0.0199,0.012073
